epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
159,41728,0.062,0.004,0.164,0.434,0.246,0.069,0.236,0.466,0.211,0.106,0.078
160,41744,0.058,0.003,0.2,0.441,0.341,0.091,0.213,0.427,0.26,0.106,0.135
161,41760,0.052,0.003,0.161,0.508,0.306,0.066,0.18,0.415,0.216,0.125,0.088
162,41776,0.059,0.003,0.149,0.515,0.369,0.105,0.181,0.34,0.291,0.094,0.077
163,41792,0.054,0.004,0.184,0.438,0.299,0.08,0.192,0.369,0.248,0.081,0.063
164,41808,0.057,0.005,0.129,0.425,0.317,0.075,0.167,0.446,0.234,0.145,0.156
165,41824,0.053,0.003,0.177,0.367,0.327,0.098,0.178,0.327,0.275,0.092,0.075
166,41840,0.062,0.003,0.122,0.541,0.326,0.083,0.187,0.445,0.251,0.124,0.142
167,41856,0.059,0.003,0.169,0.516,0.312,0.073,0.205,0.407,0.226,0.132,0.106
168,41872,0.054,0.003,0.132,0.559,0.295,0.065,0.147,0.458,0.195,0.156,0.131
169,41888,0.058,0.003,0.16,0.431,0.329,0.105,0.171,0.377,0.286,0.119,0.136
170,41904,0.06,0.004,0.127,0.494,0.187,0.055,0.165,0.477,0.156,0.15,0.224
171,41920,0.061,0.004,0.176,0.522,0.314,0.095,0.206,0.361,0.25,0.074,0.072
172,41936,0.06,0.003,0.219,0.544,0.341,0.079,0.212,0.511,0.226,0.097,0.137
173,41952,0.057,0.004,0.204,0.631,0.293,0.069,0.192,0.516,0.222,0.161,0.21
174,41968,0.055,0.004,0.165,0.4,0.261,0.068,0.2,0.417,0.202,0.135,0.197
175,41984,0.047,0.003,0.134,0.419,0.368,0.12,0.173,0.392,0.316,0.106,0.159
176,41600,0.063,0.003,0.172,0.499,0.175,0.041,0.201,0.365,0.136,0.18,0.227
177,41616,0.062,0.003,0.133,0.474,0.294,0.076,0.175,0.412,0.239,0.103,0.117
178,41632,0.062,0.003,0.155,0.478,0.268,0.06,0.179,0.508,0.186,0.16,0.22
179,41648,0.062,0.003,0.156,0.59,0.334,0.092,0.202,0.317,0.273,0.111,0.104
180,41664,0.067,0.004,0.171,0.528,0.306,0.094,0.245,0.409,0.258,0.078,0.09
181,41680,0.056,0.003,0.159,0.492,0.323,0.082,0.185,0.433,0.247,0.111,0.069
182,41696,0.057,0.003,0.172,0.446,0.347,0.094,0.179,0.422,0.266,0.066,0.07
183,41712,0.062,0.004,0.141,0.559,0.22,0.05,0.189,0.458,0.168,0.121,0.183
184,41728,0.062,0.003,0.145,0.474,0.273,0.071,0.17,0.433,0.204,0.106,0.124
185,41744,0.067,0.003,0.126,0.534,0.332,0.088,0.18,0.448,0.256,0.114,0.094
186,41760,0.063,0.003,0.137,0.502,0.233,0.063,0.161,0.41,0.194,0.116,0.151
187,41776,0.058,0.003,0.122,0.519,0.26,0.077,0.164,0.407,0.223,0.103,0.158
188,41792,0.058,0.004,0.146,0.553,0.303,0.08,0.206,0.366,0.257,0.098,0.082
189,41808,0.064,0.005,0.171,0.474,0.349,0.082,0.186,0.386,0.254,0.155,0.139
190,41824,0.062,0.003,0.163,0.487,0.236,0.053,0.173,0.378,0.19,0.166,0.154
191,41840,0.057,0.004,0.208,0.419,0.289,0.075,0.261,0.368,0.225,0.125,0.092
192,41856,0.057,0.004,0.147,0.529,0.307,0.076,0.203,0.456,0.222,0.092,0.086
193,41872,0.065,0.003,0.146,0.629,0.317,0.079,0.188,0.434,0.241,0.124,0.072
194,41888,0.058,0.004,0.135,0.57,0.372,0.115,0.187,0.404,0.303,0.078,0.092
195,41904,0.06,0.004,0.177,0.51,0.28,0.077,0.205,0.407,0.235,0.133,0.113
196,41920,0.058,0.004,0.154,0.458,0.264,0.059,0.193,0.411,0.199,0.142,0.121
197,41936,0.067,0.003,0.157,0.481,0.33,0.071,0.204,0.435,0.232,0.143,0.096
198,41952,0.06,0.004,0.144,0.597,0.278,0.064,0.179,0.401,0.22,0.168,0.119
199,41968,0.06,0.003,0.177,0.5,0.228,0.053,0.183,0.389,0.169,0.155,0.147
200,41984,0.052,0.004,0.151,0.465,0.321,0.122,0.196,0.399,0.313,0.066,0.071
