epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
3,24432,0.036,0.003,0.251,0.279,0.425,0.225,0.249,0.247,0.464,0.127,0.261
3,24832,0.036,0.003,0.258,0.266,0.369,0.168,0.252,0.236,0.347,0.098,0.14
3,25232,0.033,0.003,0.251,0.323,0.384,0.197,0.253,0.271,0.382,0.096,0.308
3,25632,0.032,0.003,0.25,0.287,0.396,0.182,0.255,0.267,0.377,0.122,0.216
3,26032,0.033,0.003,0.251,0.31,0.341,0.147,0.254,0.275,0.309,0.089,0.089
3,26432,0.033,0.003,0.255,0.276,0.422,0.188,0.255,0.288,0.388,0.114,0.13
3,26832,0.032,0.003,0.243,0.328,0.467,0.243,0.252,0.295,0.498,0.117,0.326
3,27232,0.033,0.003,0.251,0.316,0.489,0.232,0.25,0.273,0.464,0.13,0.278
3,27632,0.032,0.003,0.253,0.295,0.354,0.149,0.256,0.276,0.315,0.113,0.106
3,28032,0.032,0.003,0.249,0.273,0.609,0.375,0.252,0.283,0.751,0.155,0.85
